course_id|course_name
course-391|INNOVACIÓN SOCIAL
course-392|Diálogo Social y Género
course-393|Resiliencia: transformando la adversidad
course-394|Contexto, Marco Regulatorio e Introducción a la Infraestructura Ferroviaria
course-395|Instrumentos de ejecución del ingreso y el gasto público
course-396|Negociación Colectiva En El Sector Público Decreto 243 De 2024
course-397|Podcast asistido por IA Marketing
course-398|Ambientes seguros y preventivos
course-399|Gobierno Corporativo y Sostenibilidad Empresarial Estrategias legales para los diversos tipos de empresas Colombianas
course-400|SB1 Aviation and the Environment / SB1 Aviación y Medio Ambiente
course-401|R5 Aviation Technical Regulations / R5 Regulaciones Técnicas de Aviación
course-402|SB3 Safety Planning & Governance / SB3 Planificación de Seguridad y Gobernanza
course-403|Bioseguridad BSL- 3
course-404|Direccion de Empresas solidarias - Caribe
course-405|R2 Operational Risk Management/R2 Gestión de Riesgo Operacional
course-406|Gestión estratégica de compras y abastecimiento -Caribe
course-407|Marketing Digital y la Inteligencia Artificial: La Nueva Forma de Incrementar las Ventas - Eje Cafetero
course-408|Expresión oral y manejo de publicos - Medellín
course-409|“LOS PROGRAMAS DE TRANSPARENCIA Y ÉTICA PÚBLICA - PTEP”: Énfasis en el Decreto 1122 de 2024 y su Anexo Técnico
course-410|Música para Videojuegos
course-411|Derecho Urbano e Inmobiliario
course-412|Seguimiento al Paciente con Quimioterapia Oral
course-413|Agente Inmobiliario Y Manejo de  Rentas Cortas - Caribe
course-414|Integración de las Inteligencias Artificiales en la Educación: Usos Prácticos y Reflexiones Críticas
course-415|Técnicas Efectivas de Cobranza - Caribe
course-416|Derecho Administrativo Sancionatorio - Reforma Ley 2080
course-417|Administración de entidades de Salud - Caribe
course-418|Derecho Urbanistico - Caribe
course-419|Materiales, Equipos y Técnicas para Carreteras
course-420|Género, Diversidad e Inclusión para la Equidad
course-421|Evaluación de Tecnologías Sanitarias
course-422|Diseño de autor para la ilustración de tatuajes: del papel a la magia del cuerpo
course-423|Participación ciudadana deliberativa para el gobierno local
course-424|Gerencia y Administración del Riesgo en la Seguridad Privada
course-425|Acción por la Biodiversidad, Rumbo a la COP16
course-426|Periodismo ambiental: narrativas para contar la biodiversidad
course-427|Transporte Neonatal
course-428|Auditoría Financiera y Aseguramiento Sobre Información de Sostenibilidad
course-429|¿Como ser influencer y no morir en el intento?
course-430|Marketing, Ventas y Experiencia del Cliente para Negocios Gastronómicos
course-431|AWS Certified Solution Architect Associate: Adquiere conocimientos en tecnologías de AWS y prepárate para la certificación
course-432|Tecnología básica de concreto
course-433|Control de calidad para concreto y mortero hidráulico
course-434|Emprendimiento 101: Retos y oportunidades
course-435|Matemáticas Financieras Prácticas En Excel Con Énfasis En Niif
course-436|Introducción al estoicismo romano
course-437|Cloud Computing: Infraestructura de IT
course-438|¿Hay Vida Después de la Muerte? Aproximaciones Antropológicas, Teológicas y Culturales
course-439|Acción Humanitaria y Poblaciones Diferenciada
course-440|Acción Humanitaria, Definición, Horizonte y Pautas
course-441|Comunicaciones, Periodismo y Acción Humanitaria
course-442|Ciclos de Proyectos de la Acción Humanitaria
course-443|Acción Humanitaria, Emergencias en Salud y Nutrición
course-444|Acción Humanitaria y Medio Ambiente
course-445|Acción Humanitaria, Protección y DDHH
course-446|Acción Humanitaria y Población en Movimiento
course-447|Acción Humanitaria; Desarrollo, Construcción de Paz y Gobiernos Autónomos
course-448|R como herramienta SIG (Sistemas de información geográfica)
course-449|De los PDT a los PISCC: Claves para construir y articular los Planes de Desarrollo Territorial y los Planes Integrales de Seguridad y Convivencia Ciudadana
course-450|Building Information Modeling - BIM - Oriente
course-451|Desarrollo Creativo a Través de la Improvisación Teatral
course-452|Los Programas de Trasparencia y Ética Pública-PTEP y Empresarial-PTEE
course-453|Metodologías de Investigación en Estudios Culturales
course-454|Formación Académica en insolvencia e intervención con el Aval de la Superintendencia de Sociedades - Eje Cafetero
course-455|Introducción al Procesamiento de Lenguaje Natural
course-456|Comunicación Gastronómica
course-457|Fundamentos y Herramientas en Analítica de Datos
course-458|Producción Musical para Aficionados: de la Composición a la Grabación
course-459|NIIF Normas Internacionales de Información Financiera - Ibagué
course-460|Diseño Mecanicista Racional de Pavimentos
course-461|Logística Inversa: Herramientas Prácticas para una Economía Circular
course-462|Preparación de Estados Financieros
course-463|“Del ciudadano a la comunidad” Los límites del liderazgo de lo individual en un mundo en crisis
course-464|Desbloqueo Creativo para Creativos y no Creativos
course-465|Introducción a la Gerencia Estratégica de Proyectos
course-466|Gimnasio Educativo Virtual: Introducción al E-learning y Tendencias Pedagógicas
course-467|Habilidades Comerciales: La Venta Aplicada
course-468|Gimnasio Educativo Virtual: Herramientas Prácticas para la Creación de Actividades E-learning
course-469|Gimnasio Educativo Virtual: Acompañamiento, tutoría y evaluación en la educación mediada por TIC
course-470|Toma de Muestras Biológicas para el Análisis por el Laboratorio Clínico
course-471|ABC de la Innovación
course-472|Fundamentos de PMI
course-473|Funcionamiento en Red
course-474|Analítica para Directivos
course-475|Cadena de valor
course-476|Estrategia de Ventas desde Casa
course-477|Empoderando equipos
course-478|Equipos eficaces
course-479|Dirección de proyectos estratégicos
course-480|Gestión de Insights
course-481|Habilidades Comunicativas
course-482|Gestión del Tiempo
course-483|Gobierno Corporativo
course-484|Habilidades para ser Mentor
course-485|Inteligencia de Negocios
course-486|Gestión de la Responsabilidad Integral
course-487|Inspirando con el Ejemplo
course-488|Gestionando Decisiones
course-489|Mentoring Ejecutivo
